image path: G033_IMG015.jpg, distances: [     5.6901      1.0376      5.8112      1.3926], match: True, time: 5.44893217086792
image path: G033_IMG016.jpg, distances: [     1.4649      7.6432      1.5605      5.8854], match: True, time: 5.469436168670654
image path: G033_IMG017.jpg, distances: [     2.6571      4.5502      5.4526      7.0684], match: True, time: 6.576876401901245
image path: G033_IMG018.jpg, distances: [     1.1385      9.2047      9.0035      6.1822], match: True, time: 4.890618562698364
image path: G033_IMG019.jpg, distances: [     7.6306       3.019      1.9898      3.2934], match: True, time: 5.962206125259399
image path: G033_IMG020.jpg, distances: [      5.661      2.7287      9.6943      2.3968], match: True, time: 5.8517515659332275
image path: G033_IMG021.jpg, distances: [     7.6414      2.6736     0.61038      21.802], match: True, time: 5.363927125930786
image path: G033_IMG022.jpg, distances: [      6.352      1.9376      4.4461       4.578], match: True, time: 5.45993447303772
image path: G033_IMG023.jpg, distances: [     6.5876      2.1508      5.3824      2.6915], match: True, time: 5.610337257385254
image path: G033_IMG024.jpg, distances: [     1.1947      5.4293      80.864      76.024], match: False, time: 5.651415586471558
image path: G033_IMG025.jpg, distances: [     4.6365      3.6705      2.7453      11.771], match: True, time: 7.223913669586182
image path: G033_IMG026.jpg, distances: [     6.9324      4.5416      8.2821      8.0888], match: True, time: 5.779512882232666
image path: G033_IMG027.jpg, distances: [     5.6511      12.109      9.6294      6.4959], match: True, time: 5.296829462051392
image path: G033_IMG028.jpg, distances: [     2.2769      6.8127      7.3277      10.691], match: True, time: 5.194868087768555
image path: G033_IMG029.jpg, distances: [     7.2091      4.3716      1.4309      1.3497], match: True, time: 4.841580867767334
image path: G033_IMG030.jpg, distances: [     5.0785      1.9084      3.7663      1.1216], match: True, time: 5.305583477020264
image path: G033_IMG031.jpg, distances: [     2.6838     0.57873      4.8389      5.2181], match: True, time: 5.8797287940979
image path: G033_IMG032.jpg, distances: [       2.24      4.6152      1.0757      7.6396], match: True, time: 6.308881044387817
image path: G033_IMG033.jpg, distances: [     6.6849      3.4731      7.3412      4.6139], match: True, time: 4.982264518737793
image path: G033_IMG034.jpg, distances: [     3.2249      7.1535      11.042      7.2599], match: True, time: 5.634785413742065
